ANumber,Triangle,Trait,Sequence
A109573,EulerSec,TransNat0,[0 1 2 0 -8 0 96 0 -2176 0 79360 0 -4245504 0 313155584 0 ]
nothing,EulerSec,TransNat1,[1 2 2 -2 -8 16 96 -272 -2176 7936 79360 -353792 -4245504 22368256 ]
A122045,EulerSec,PolyVal0 ,[1 0 -1 0 5 0 -61 0 1385 0 -50521 0 2702765 0 -199360981 0 ]
A009006,EulerSec,PolyVal1 ,[1 1 0 -2 0 16 0 -272 0 7936 0 -353792 0 22368256 0 -1903757312 0 ]
A119880,EulerSec,PolyVal2 ,[1 2 3 2 -3 2 63 2 -1383 2 50523 2 -2702763 2 199360983 2 ]
A119881,EulerSec,PolyVal3 ,[1 3 8 18 32 48 128 528 512 -6912 2048 357888 8192 -22351872 32768 ]
A302585,EulerSec,PolyValn ,[1 1 3 18 165 2000 29855 527632 10762857 248811264 6428081979 ]
A000012,EulerSec,PolySeq0 ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A001477,EulerSec,PolySeq1 ,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 ]
A131386,EulerSec,PolySeq2 ,[-1 0 3 8 15 24 35 48 63 80 99 120 143 168 195 224 255 288 323 ]
A121670,EulerSec,PolySeq3 ,[0 -2 2 18 52 110 198 322 488 702 970 1298 1692 2158 2702 3330 4048 ]
A000012,EulerSec,Diag0    ,[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ]
A000004,EulerSec,Diag1    ,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
A089594,EulerSec,Diag2    ,[-1 -3 -6 -10 -15 -21 -28 -36 -45 -55 -66 -78 -91 -105 -120 -136 -153 ]
A000004,EulerSec,Diag3    ,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ]
A122045,EulerSec,AntiDiag0,[1 0 -1 0 5 0 -61 0 1385 0 -50521 0 2702765 0 -199360981 0 ]
nothing,EulerSec,AntiDiag1,[1 0 -3 0 25 0 -427 0 12465 0 -555731 0 35135945 0 -2990414715 0 ]
nothing,EulerSec,AntiDiag2,[1 0 -6 0 75 0 -1708 0 62325 0 -3334386 0 245951615 0 -23923317720 0 ]
nothing,EulerSec,AntiDiag3,[1 0 -10 0 175 0 -5124 0 228525 0 -14449006 0 1229758075 0 ]
