Triangle,Anum,Trait,Sequence
Binomial,A000292,DiagRow3,[1 4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 ]
Binomial,A000027,DiagCol1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
Binomial,A000217,DiagCol2,[1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 ]
Binomial,A000292,DiagCol3,[1 4 10 20 35 56 84 120 165 220 286 364 455 560 680 816 969 1140 ]
Binomial,A009998,PolyTabl,[1 1 1 1 2 1 1 4 3 1 1 8 9 4 1 1 16 27 16 5 1 1 32 81 64 25 6 1 1 ]
Binomial,A000027,PolyRow1,[1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 ]
Binomial,A000290,PolyRow2,[1 4 9 16 25 36 49 64 81 100 121 144 169 196 225 256 289 324 361 ]
Binomial,A000578,PolyRow3,[1 8 27 64 125 216 343 512 729 1000 1331 1728 2197 2744 3375 4096 ]
Binomial,A000244,PolyCol2,[1 3 9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 ]
Binomial,A000302,PolyCol3,[1 4 16 64 256 1024 4096 16384 65536 262144 1048576 4194304 ]
Binomial,A000169,PolyDiag,[1 2 9 64 625 7776 117649 2097152 43046721 1000000000 25937424601 ]
Binomial,A000244,PosHalf,[1 3 9 27 81 243 729 2187 6561 19683 59049 177147 531441 1594323 ]
Binomial,A000012,NegHalf,[1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 1 -1 ]
