Triangle,Anum,Trait,Sequence
Narayana,A000217,DiagCol2,[1 3 6 10 15 21 28 36 45 55 66 78 91 105 120 136 153 171 190 210 ]
Narayana,A002415,DiagCol3,[1 6 20 50 105 196 336 540 825 1210 1716 2366 3185 4200 5440 6936 ]
Narayana,,PolyTabl,[1 0 1 0 1 1 0 2 2 1 0 5 6 3 1 0 14 22 12 4 1 0 42 90 57 20 5 1 0 ]
Narayana,A001477,PolyRow1,[0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 ]
Narayana,A002378,PolyRow2,[0 2 6 12 20 30 42 56 72 90 110 132 156 182 210 240 272 306 342 380 ]
Narayana,A033445,PolyRow3,[0 5 22 57 116 205 330 497 712 981 1310 1705 2172 2717 3346 4065 ]
Narayana,A006318,PolyCol2,[1 2 6 22 90 394 1806 8558 41586 206098 1037718 5293446 27297738 ]
Narayana,A047891,PolyCol3,[1 3 12 57 300 1686 9912 60213 374988 2381322 15361896 100389306 ]
Narayana,,PolyDiag,[1 1 6 57 740 12130 239442 5516133 145043208 4281280686 ]
Narayana,A001003,PosHalf,[1 1 3 11 45 197 903 4279 20793 103049 518859 2646723 13648869 ]
Narayana,A154825,NegHalf,[1 1 -1 -1 5 -3 -21 51 41 -391 407 1927 -6227 -2507 49347 -71109 ]
